Interessado,UF,Tipo de interessado,Tipo de operação,Finalidade,Tipo de credor,Credor,Moeda,Valor,Número do Processo/PVL,Código IBGE,Status,Ano,Mes,Dia
São Luiz,RR,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2500000.0,PVL02.009681/2019-70,1400605.0,Em Análise,2020,4,16
São Mamede,PB,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Não Estatal,Sociedade Anônima de Eletrificação da Paraíba,Real,548885.08,17944.000894/2007-65,2514909.0,Em Análise,2008,9,15
São Martinho,RS,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,BADESUL Desenvolvimento S.A. - Agência de Fomento/RS,Real,1200000.0,PVL02.001425/2019-34,4319109.0,Em Análise,2019,9,3
São Pedro da Serra,RS,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3500000.0,17944.100430/2020-25,4319356.0,Em Análise,2020,4,2
São Tiago,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4000000.0,PVL02.000184/2023-92,3165008.0,Em Análise,2023,6,21
São Vicente de Minas,MG,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2500000.0,17944.104047/2019-11,3165305.0,Em Análise,2020,7,24
Sardoá,MG,Município,Operação Contratual Interna,Desenvolvimento sustentável,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,1500000.0,PVL02.007951/2022-11,3165503.0,Em Análise,2022,9,30
Saúde,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3000000.0,17944.102458/2020-05,2929800.0,Em Análise,2024,4,22
Tabaí,RS,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,6000000.0,17944.102334/2023-64,4320859.0,Em Análise,2023,12,26
Talismã,TO,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3000000.0,PVL02.006602/2021-93,1720978.0,Em Análise,2022,6,22
Tapiratiba,SP,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Outras,Pessoa Jurídica,Real,772309.55,17944.001251/2008-10,3553609.0,Em Análise,2008,10,30
Taquarituba,SP,Município,Operação Contratual Interna,RELUZ,Outras,Pessoa Jurídica,Real,21744.31,17944.001577/2005-02,3553807.0,Em Análise,2018,1,25
Teixeira de Freitas,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1000000.0,PVL02.004003/2023-05,2931350.0,Em Análise,2024,8,19
Teofilândia,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5000000.0,17944.101538/2022-05,2931509.0,Em Análise,2022,8,22
Três Fronteiras,SP,Município,Operação Contratual Interna,Desenvolvimento sustentável,Instituição Financeira Nacional,Agência de Fomento do Estado de São Paulo,Real,2000000.0,PVL02.001171/2024-11,3554904.0,Em Análise,2024,7,25
Uibaí,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5000000.0,17944.103098/2020-51,2932408.0,Em Análise,2021,5,21
Utinga,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,7000000.0,PVL02.004120/2023-61,2932804.0,Em Análise,2024,1,25
Vera Cruz,RN,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,10000000.0,17944.101549/2022-87,2414803.0,Em Análise,2023,1,5
Virgolândia,MG,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Caixa Econômica Federal,Real,900000.0,PVL02.005803/2021-73,3171907.0,Em Análise,2021,12,27
